RA,Dec,Rplanet,P,S/SEarth,K,Rstar,Teff,Vmag,Imag,Jmag,Kmag,Dist,Dil,log10,SNR,Mult.
37.48,75.54,2.424,18.46,0.2261,6.883,0.1211,2884,17.17,14.58,12.83,12.04,2.45,1.012,-4.384,13.58,2
38.04,-50.3,3.024,8.527,13.37,3.463,0.5363,3916,14.08,12.33,11.29,10.47,5.15,1,-3.599,13.02,2
38.15,6.366,2.499,12.36,28.12,1.973,0.7495,4819,11.08,10.03,9.278,8.675,4.5,1.011,-5.004,10.84,0
38.42,66.88,2.335,10.27,4.655,3.192,0.3876,3563,12.25,10.17,8.991,8.213,1.85,1.083,-4.311,33.94,3
38.49,46.6,1.602,8.107,2.446,4.993,0.2115,3170,11.56,9.623,8.105,7.336,-0.75,1.285,-3.979,49.56,1
38.92,66.66,1.071,1.227,79.15,1.474,0.3876,3563,12.25,10.17,8.991,8.213,1.85,1.096,-3.622,9.434,3
39.02,-12.99,1.858,0.8663,199.1,5.134,0.4775,3723,13.85,11.91,10.8,9.988,4.25,1.006,-3.852,13.39,3
39.39,-49.32,2.376,16.62,1.089,3.98,0.2472,3324,15.74,13.36,12.03,11.26,3.7,1.003,-3.369,12.69,1
39.8,-69.11,3.086,29.89,34.99,1.645,0.9909,6067,11.06,10.45,10,9.69,6.4,1,-4.185,9.455,0
39.89,-22.92,3.362,2.846,407.1,3.867,0.8732,5458,10.86,10.07,9.507,9.083,5.4,1,-4.648,21.44,1
40.35,-20.5,2.368,6.111,225.3,2.021,1.017,5728,9.417,8.703,8.201,7.841,4.55,1.016,-4.871,13.98,1
40.37,-43.35,0.8884,0.7614,113.7,0.9601,0.341,3476,13.76,11.57,10.34,9.567,2.85,1,-3.979,9.487,2
40.64,-44.54,2.786,28.85,8.597,1.699,0.7209,4808,11.62,10.58,9.826,9.213,4.95,1.045,-4.679,13.56,0
40.85,-45.01,2.152,35.73,0.9864,1.852,0.4136,3592,14.32,12.25,11.07,10.28,4.1,1.027,-4.045,8.546,2
