RA,Dec,Rplanet,P,S/SEarth,K,Rstar,Teff,Vmag,Imag,Jmag,Kmag,Dist,Dil,log10,SNR,Mult.
267.5,55.71,1.766,9.954,4.727,2.492,0.3896,3528,15.68,13.53,12.31,11.52,5.15,1.044,-4.045,10.23,1
267.7,-44.4,2.136,15.58,5.511,2.114,0.5175,3875,11.85,10.09,9.052,8.242,2.8,1.083,-3.622,7.364,1
267.7,34.82,2.562,6.567,21.02,3.178,0.5503,3985,13.41,11.73,10.73,9.917,4.7,1,-3.487,10.81,3
267.8,76.57,2.661,31.68,14.24,1.418,0.8546,5309,12.93,12.08,11.48,11.02,7.25,1,-4.554,9.958,0
267.8,64.1,1.822,9.945,2.736,3.241,0.287,3381,15.7,13.39,12.1,11.33,4.15,1,-3.487,12.39,3
267.8,45.39,3.168,11.38,9.744,3.232,0.5464,3961,14.24,12.53,11.52,10.7,5.45,1.006,-4.104,12.79,2
267.8,-1.802,2.561,17.57,1.415,3.597,0.2936,3446,9.7,7.511,6.286,5.537,-1.55,1.008,-4.364,127.3,2
268,7.548,1.945,7.515,113.9,1.649,0.8924,5458,9.999,9.211,8.65,8.232,4.6,1.012,-4.749,8.176,2
268.2,23.04,3.315,12.51,75.22,2.32,0.9138,5741,10.8,10.1,9.594,9.227,5.7,1,-4.731,14.32,0
268.3,63.77,2.101,7.548,82.81,2.032,0.7392,5358,12.75,11.93,11.34,10.88,6.8,1.001,-4.774,12.81,0
268.6,70.31,2.907,5.108,263,2.627,0.9968,5649,12.34,11.6,11.08,10.7,7.35,1.016,-3.63,15.6,0
268.7,60.95,2.195,22.52,44.82,1.193,1.036,5888,10.28,9.617,9.147,8.816,5.6,1,-4.853,18.12,0
268.8,74.41,12.52,13.55,303.8,6.208,1.666,6546,7.176,6.691,6.337,6.113,4.05,1,-4.637,615.3,0
268.9,34.71,2.401,9.096,9.153,2.942,0.4884,3745,14.25,12.33,11.23,10.42,4.75,1.266,-4.321,10.43,2
269.1,59.28,3.399,10.91,57.66,2.599,0.8349,5309,12.88,12.04,11.43,10.97,7.15,1,-4.743,18.51,0
269.2,56.17,2.511,2.774,29.51,4.942,0.4153,3587,15.94,13.85,12.66,11.86,5.7,1.05,-4.293,12.99,3
269.2,16.94,1.415,2.007,23.78,4.012,0.2984,3408,14.72,12.46,11.19,10.42,3.4,1.065,-4.541,7.665,4
269.7,-45.6,2.406,19.6,1.245,3.066,0.3096,3426,14.8,12.55,11.29,10.52,3.55,1.132,-4.32,10.13,2
269.7,38.06,1.954,14.02,4.996,2.102,0.4815,3745,13.62,11.71,10.61,9.801,4.1,1.004,-4.029,9.266,2
270.1,15.77,5.128,5.061,359.5,4.381,1.042,5984,9.993,9.358,8.905,8.587,5.4,1.005,-4.523,55.62,0
270.7,63.31,2.878,11.7,0.695,7.735,0.1596,2999,17.14,14.85,13.15,12.37,3.5,1,-4.35,16.81,2
270.8,-5.246,2.023,18.85,2.114,2.244,0.3931,3570,12.96,10.88,9.703,8.921,2.6,1.111,-3.836,12.45,2
271,61.23,3.697,42.13,21.84,1.696,1.067,5861,11.76,11.09,10.61,10.27,7.1,1.002,-3.838,13.32,0
271.2,61.91,2.193,58.58,5.166,1.002,0.7893,5212,11.4,10.53,9.901,9.412,5.45,1,-4.849,7.917,1
271.2,53.27,3.185,10.31,1.216,8.078,0.1761,3223,17.37,14.83,13.42,12.64,4.25,1.127,-4.584,24.59,2
271.3,-72.44,2.162,11.16,3.45,3.043,0.3568,3497,13.97,11.8,10.58,9.8,3.2,1.014,-3.923,15.07,2
271.5,53.81,2.966,7.458,54.33,2.77,0.7428,4808,13.26,12.21,11.46,10.85,6.65,1.005,-3.952,12.94,0
271.6,50.38,3.014,2.013,382,4.231,0.7797,4966,10.92,9.953,9.255,8.7,4.65,1,-4.682,33.41,1
271.7,73.56,2.043,7.182,3.625,4.402,0.259,3349,14.71,12.36,11.05,10.29,2.85,1.014,-3.681,58.48,0
271.8,62.46,1.772,0.6731,307.8,5.178,0.4885,3804,12.75,10.9,9.833,9.024,3.4,1.033,-3.622,59.92,1
271.9,60.76,2.066,2.726,23.96,4.658,0.3628,3518,12.11,9.977,8.773,8.001,1.45,1.005,-3.616,46.43,3
272,28.34,3.519,2.703,200.2,4.893,0.6952,4822,11.93,10.86,10.14,9.524,5.2,1.003,-4.107,31.02,0
272.1,41.68,3.307,5.503,87.56,3.552,0.7117,4945,12.11,11.1,10.42,9.841,5.6,1.028,-4.92,27.25,1
272.1,65.42,2.202,9.972,1.217,5.952,0.1696,3227,15.72,13.19,11.79,11.03,2.55,1,-4.407,54.37,2
272.2,70.98,1.863,2.09,395.7,2.665,0.8021,5012,13.37,12.41,11.72,11.18,7.2,1.011,-4.708,9.503,0
272.3,14.38,2.69,13.48,0.8513,6.313,0.1751,3233,15.68,13.17,11.77,11.01,2.6,1.179,-4.387,26.67,2
272.4,42.21,5.3,18.28,27.16,3.495,0.7581,5408,10.43,9.635,9.055,8.611,4.6,1.015,-4.728,64.86,0
272.7,75.49,3.019,2.49,5.538e+04,1.611,4.087,1.009e+04,7.142,7.223,7.209,7.253,7.6,1.001,-4.858,15.2,2
272.7,32.06,2.299,10.33,2.475,4.012,0.2795,3375,15.72,13.41,12.11,11.34,4.1,1.01,-4.464,8.422,2
272.8,69.42,15.29,111.9,5.631,4.396,0.9723,6124,9.035,8.441,8.012,7.714,4.4,1.011,-4.698,522.6,2
273,59.88,3.537,6.52,63.5,3.382,0.7477,4775,11.48,10.41,9.651,9.04,4.85,1.008,-4.788,74.86,1
273.3,60,1.698,1.749,25.24,5.491,0.274,3367,16.54,14.21,12.9,12.13,4.85,1,-4.39,15.01,3
273.4,60.03,2.847,15.04,2.621,3.319,0.3819,3546,16.47,14.34,13.13,12.34,5.95,1.659,-4.547,10.99,2
273.4,69.12,3.093,2.878,11.47,8.85,0.2527,3326,17.35,14.96,13.63,12.86,5.35,1.015,-3.61,31.79,3
273.5,61.99,2.802,8.731,41.58,2.645,0.6984,4817,13.45,12.36,11.64,11.02,6.7,1.007,-4.647,21.06,1
273.5,41.99,1.564,10.47,7.28,1.894,0.4716,3767,11.64,9.771,8.69,7.888,2.15,1.019,-4.089,9.628,1
273.6,54.15,1.3,0.564,61.35,7.129,0.1812,3231,16.82,14.3,12.9,12.13,3.8,1.056,-4.471,11,2
273.6,67.08,1.797,2.386,5738,1.582,1.612,8035,9.498,9.331,9.168,9.113,7.2,1.003,-4.703,7.576,1
273.9,43.99,1.782,1.946,21.08,5.729,0.2664,3355,16.09,13.75,12.44,11.67,4.3,1.237,-3.695,13.31,3
274.1,46.77,1.38,0.7164,290.8,3.717,0.5007,3789,14.65,12.78,11.69,10.87,5.3,1.012,-3.772,7.536,2
274.3,56.2,1.448,15.73,97.96,0.9575,1.138,6081,9.064,8.457,8.023,7.725,4.75,1.001,-4.684,11.27,0
274.5,-50.43,2.764,11.66,51.09,2.138,0.8327,5248,9.585,8.729,8.112,7.636,3.8,1.016,-4.809,24.07,0
274.5,76.01,1.895,5.241,831.1,1.638,1.55,6194,10.78,10.2,9.779,9.493,7.2,1.001,-4.772,10.11,0
274.7,38.56,1.738,4.205,10.75,3.579,0.3255,3477,12.77,10.6,9.369,8.604,1.8,1.019,-4.439,17.77,2
274.7,-56.62,2.34,2.479,21.58,5.891,0.3263,3427,15.39,13.14,11.87,11.1,4.25,2.758,-4.32,9.877,3
274.8,-48.59,2.027,9.021,2.733,3.984,0.2636,3351,15.36,13.02,11.71,10.94,3.55,1.614,-3.864,7.542,2
274.9,65.24,3.025,1.734,55.49,6.893,0.4166,3583,15.89,13.8,12.61,11.81,5.65,1.004,-4.23,27.17,3
275,76.94,1.8,26.4,1.111,1.939,0.3604,3485,14.99,12.8,11.57,10.79,4.2,1.179,-4.547,10.27,2
275.2,41,2.514,20.28,0.9942,3.507,0.2754,3384,14.07,11.77,10.48,9.72,2.45,1,-3.501,27.23,2
275.3,69.43,2.252,3.081,2381,1.916,1.533,7096,9.379,9.018,8.748,8.599,6.45,1.009,-4.414,20.37,0
275.9,56.95,3.705,9.116,311.6,2.409,1.233,6622,10.64,10.17,9.821,9.605,6.9,1.135,-4.442,41.93,1
276,56.75,1.874,6.316,22.51,2.428,0.5586,3964,14.54,12.83,11.82,11,5.8,3.164,-4.387,7.639,2
276,43.14,2.139,5.408,6.398,4.385,0.2955,3405,15.17,12.89,11.61,10.84,3.75,1.478,-3.61,11.55,2
276.3,68.16,2.205,19.23,58.95,1.306,0.9723,6124,9.035,8.441,8.012,7.714,4.4,1,-4.291,26,2
276.3,62.59,1.208,3.402,151.2,1.004,0.7477,4775,11.48,10.41,9.651,9.04,4.85,1.022,-4.837,12,1
276.4,62.84,1.916,38.48,0.5639,1.954,0.3286,3429,15.53,13.28,12.01,11.23,4.4,1.009,-4.39,9.475,2
276.5,60.5,4.256,3.759,127.7,5.093,0.7029,4815,14.07,12.96,12.24,11.62,7.3,1.016,-4.837,30.65,3
276.7,69.24,6.445,153.8,6.058,2.1,1.039,6427,12.3,11.77,11.37,11.1,7.95,1.006,-4.707,29.65,0
276.8,-37.46,2.776,6.17,11.65,4.027,0.4325,3668,14.18,12.19,11.05,10.25,4.25,1.073,-3.461,12.95,2
276.9,-54.11,6.306,18.28,15.71,4.397,0.6917,4854,11.42,10.35,9.643,9.035,4.7,1.151,-4.375,75.38,0
277,45.68,2.739,33.36,55.49,1.192,1.432,6138,8.9,8.309,7.891,7.611,5.15,1.003,-4.369,7.816,0
277.1,57.52,1.972,5.711,1.864,7.357,0.14,3177,17.74,15.87,14.44,13.64,4.65,1.009,-3.95,8.026,2
277.1,48,7.42,51.95,4.21,3.524,0.7072,4923,11.42,10.36,9.673,9.087,4.8,1.012,-4.517,128.6,1
277.1,53.47,2.256,3.032,58.74,3.649,0.5541,3969,14.54,12.84,11.83,11.01,5.8,1.036,-3.52,11.24,2
277.2,14.39,16.97,8.76,526.8,9.586,1.519,6792,8.557,8.129,7.813,7.623,5.4,1.021,-4.729,350.6,0
277.2,46.19,1.87,13.19,81.75,1.256,1.005,5781,10.14,9.446,8.955,8.605,5.3,1.001,-4.746,9.112,0
277.4,13.94,2.857,12.56,2.357,4.146,0.318,3425,15.35,13.1,11.83,11.06,4.15,1.431,-4.006,10.72,2
277.5,77.81,2.857,27.65,64.73,1.35,1.213,6471,10.49,9.981,9.609,9.368,6.6,1.013,-4.066,13.36,0
277.6,52.85,2.889,9.377,422.2,2.253,1.437,6397,9.563,9.041,8.646,8.382,5.95,1.007,-4.442,14.41,1
277.7,33.81,1.39,7.289,83.8,1.241,0.7911,5224,8.722,7.861,7.238,6.754,2.8,1.002,-4.68,8.604,0
277.9,55.61,3.432,17.26,14.75,2.599,0.6824,4695,13.97,12.82,12.06,11.4,7,1.002,-3.792,17.4,0
278.1,43.71,2.764,12.86,352.1,1.56,1.41,7244,8.897,8.566,8.307,8.169,5.85,1.003,-4.669,10.38,2
278.5,63.49,1.731,13.44,2.292,2.524,0.3286,3429,15.53,13.28,12.01,11.23,4.4,1.021,-3.487,11.15,2
278.5,3.674,2.879,7.605,2.014,9.89,0.1859,3062,16.93,14.78,13.16,12.38,3.9,2.943,-4.226,8.413,1
278.5,76.79,2.278,15.41,131.3,1.337,1.262,6223,11.59,11.01,10.6,10.32,7.6,1.053,-4.655,8.114,0
278.7,20.43,3.45,15.17,23.1,2.633,0.7073,4985,10.23,9.232,8.567,8.003,3.75,1.025,-4.906,36.37,0
278.8,68.31,1.537,2.582,44.57,2.98,0.4739,3704,15.58,13.6,12.48,11.66,5.9,1.001,-3.979,7.594,2
279,63.2,4.867,4.316,1513,4.111,2.53,5297,7.729,6.901,6.291,5.822,4.4,1.003,-4.422,51.92,1
279,-66.38,2.978,9.158,151.7,2.202,1.016,5929,10.04,9.394,8.93,8.603,5.35,1.001,-4.867,15.71,0
279.1,14.39,1.368,7.567,3.86,2.473,0.2818,3396,13.57,11.3,10.02,9.258,2.05,1.27,-4.329,10.83,2
279.1,60.87,3.222,2.489,2196,3.168,1.512,6368,11.22,10.69,10.3,10.06,7.75,1.059,-4.159,25.22,1
279.1,-31.13,1.701,3.531,444.2,1.85,0.9555,5781,9.804,9.118,8.626,8.27,4.85,1.038,-4.855,8.373,0
279.2,63.11,2.224,5.886,8.407,3.778,0.3684,3493,16.69,14.5,13.26,12.48,5.95,1,-4.364,9.03,3
279.3,68.94,2.661,20.16,3.208,2.45,0.4936,3749,15.44,13.51,12.4,11.59,5.95,1.01,-4.32,11.44,2
279.5,73.62,4.235,11,71.46,3.455,0.7738,5715,13.27,12.56,12.04,11.66,7.75,1.002,-4.262,25.61,0
279.6,62.34,1.659,7.713,1.986,4.596,0.1889,3236,17.11,14.6,13.2,12.43,4.2,1.689,-4.541,11.72,3
279.7,57.87,2.947,27.9,3.658,2.156,0.5823,4090,14.59,13,12.02,11.22,6.2,1.001,-3.52,9.283,0
279.7,-45.08,3.064,5.614,9.911,5.101,0.3806,3537,13.37,11.25,10.05,9.275,2.85,1.105,-4.008,39.66,2
279.9,56.78,2.819,3.978,105.6,3.462,0.6838,4726,13.13,11.96,11.21,10.56,6.15,1.023,-4.123,27.06,0
279.9,68.09,2.565,2.315,8.773,10.96,0.1737,3225,17.09,14.55,13.15,12.38,3.95,1.006,-3.487,46.44,3
279.9,62.22,3.141,25.29,0.3726,5.863,0.1783,3220,18.46,15.91,14.49,13.72,5.35,1.037,-3.677,11.51,2
280,59.22,1.993,1.999,85.85,3.882,0.528,3852,15.15,13.34,12.27,11.45,6.05,1.005,-3.695,10.19,2
280.1,66.08,2.587,31.62,0.9514,2.471,0.3787,3504,16.21,14.03,12.79,12.01,5.55,1,-4.464,8.751,2
280.1,74,1.513,10.28,8.494,1.8,0.4977,3812,12.28,10.45,9.387,8.577,3,1,-4.384,24.02,2
280.1,12.06,2.695,9.951,1.279,7.06,0.1747,3231,15.59,13.07,11.67,10.91,2.5,1.072,-3.616,33.84,2
280.2,74.83,1.399,0.7742,145,4.386,0.3944,3553,15.83,13.7,12.5,11.71,5.4,1.001,-2.681,7.445,4
280.5,49.64,2.35,6.365,7.451,3.95,0.3613,3496,14.4,12.23,11,10.22,3.65,1.003,-4.029,23.01,2
280.5,68.33,3.618,8.142,394.8,2.531,1.4,6295,11.26,10.71,10.31,10.04,7.55,1.003,-4.165,20.12,2
280.6,66.28,2.464,5.096,563.2,2.039,1.314,6095,11.34,10.72,10.3,10.01,7.35,1.022,-4.104,10.28,0
280.7,69.29,1.734,3.026,4370,1.419,1.461,8551,10.55,10.46,10.34,10.32,8.25,1.025,-4.159,8.374,2
281,42.8,1.86,4.542,81.7,2.324,0.6674,4653,12.33,11.16,10.38,9.714,5.25,1.014,-4.901,9.954,0
281,60.57,2.494,1.92,12.78,10.55,0.1915,3230,19.17,16.64,15.23,14.45,6.25,1.082,-4.345,8.816,3
281,-51.05,2.247,6.588,121.7,2.187,0.8024,5458,10.15,9.366,8.8,8.372,4.5,1.004,-4.708,14.09,1
281.1,72.67,1.8,3.855,196.8,2.097,0.7803,5236,12.11,11.24,10.62,10.13,6.15,1.007,-4.7,12.14,0
281.3,33.27,3.733,12,473.4,1.966,1.946,6607,8.38,7.912,7.572,7.363,5.65,1.031,-4.48,12.57,1
281.5,-36.32,2.148,5.446,6.215,4.523,0.2887,3403,13.7,11.43,10.16,9.398,2.25,1.443,-3.697,23.32,2
281.5,50.63,2.995,6.911,22.29,3.508,0.5642,4093,13.69,12.11,11.14,10.34,5.25,1.004,-4.029,18.8,0
281.6,70.51,2.659,29.36,0.8879,2.726,0.349,3459,16.65,14.42,13.16,12.38,5.7,1.014,-3.61,8.742,2
281.7,37.7,1.898,3.691,16.31,3.864,0.3664,3526,12.21,10.09,8.895,8.123,1.6,1.005,-4.089,45.1,3
281.7,62.01,3.28,45.96,89.81,1.022,1.667,7534,8.967,8.698,8.492,8.398,6.5,1.001,-4.035,8.613,1
281.7,72.33,2.967,52.41,0.3633,2.679,0.3249,3414,16.91,14.63,13.35,12.57,5.7,1.146,-3.347,7.819,2
281.8,37.79,1.999,4.316,504.6,2.128,1.032,6053,9.22,8.611,8.167,7.854,4.65,1.002,-4.165,11.78,2
281.8,64.77,2.716,10.16,1.698,5.843,0.2185,3274,17.99,15.52,14.15,13.38,5.5,1.019,-3.772,8.326,2
281.9,74.44,2.431,14.76,379.8,1.247,1.516,7568,10.5,10.23,10.02,9.913,7.8,1,-4.104,8.389,0
281.9,49.93,2.63,11.1,3.032,3.945,0.3305,3445,13.96,11.73,10.48,9.709,2.9,1.022,-4.427,44.84,2
282,-36.97,2.126,2.047,21.92,6.446,0.2821,3374,15.5,13.19,11.89,11.12,3.9,1.096,-3.681,13.2,3
282.1,56.25,1.825,1.85,34.21,4.963,0.341,3444,16.02,13.78,12.51,11.74,5,1.215,-3.501,17.82,2
282.2,62.13,2.199,6.594,1196,1.344,1.667,7534,8.967,8.698,8.492,8.398,6.5,1.001,-3.91,7.512,1
282.3,62.66,1.384,2.46,9.111,5.342,0.1889,3236,17.11,14.6,13.2,12.43,4.2,1,-3.852,14.32,3
282.3,37.45,1.756,21.08,60.88,1.112,1.032,6053,9.22,8.611,8.167,7.854,4.65,1.003,-4.739,7.967,2
282.3,56.33,1.986,9.024,339.1,1.359,1.391,6339,10.63,10.09,9.697,9.441,6.95,1,-4.431,9.15,0
282.4,53.83,1.72,2.816,12.94,5.026,0.265,3346,16.28,13.92,12.6,11.83,4.45,1.035,-4.219,8.305,3
282.5,69.27,2.57,20.65,2.786,2.404,0.4739,3704,15.58,13.6,12.48,11.66,5.9,1,-3.697,10.66,2
282.6,60,2.693,12.37,49.46,2.177,0.7537,5495,12.62,11.85,11.29,10.86,6.85,1.148,-4.749,12.88,1
283.2,33.44,1.441,0.5734,179.3,5.873,0.3581,3485,15.46,13.27,12.03,11.25,4.65,1.054,-4.329,9.123,3
283.2,43.65,0.7054,0.7673,38.12,0.7578,0.172,3231,15.27,12.75,11.36,10.59,2.15,1.015,-4.574,9.614,4
283.3,73.61,3.108,2.778,18.24,7.446,0.3249,3414,16.91,14.63,13.35,12.57,5.7,1.086,-3.525,28.68,2
283.3,65.86,2.95,2.799,53.81,5.021,0.5255,3842,15.34,13.51,12.44,11.62,6.2,1.193,-4.029,23.64,3
283.4,62.26,3.579,10.16,2.075,6.788,0.2475,3322,16.85,14.46,13.12,12.36,4.8,1.001,-4.497,30.27,0
283.8,65.76,3.286,6.295,769.9,2.409,1.415,6871,9.986,9.569,9.256,9.07,6.7,1.005,-4.165,29.54,0
283.9,62.6,1.766,2.819,1782,1.823,1.431,6397,11.24,10.71,10.32,10.07,7.65,1.005,-4.694,9.304,0
284,-39.46,2.33,11.39,1.711,4.55,0.2374,3326,13.8,11.43,10.11,9.35,1.7,1.114,-3.779,18.52,2
284,-53.56,2.307,8.782,5.135,3.445,0.3722,3505,14.82,12.65,11.43,10.65,4.15,1.02,-4.008,7.87,2
284,75.91,3.686,4.251,3195,2.439,2.376,6998,8.629,8.254,7.971,7.815,6.6,1.01,-4.066,14.34,1
284,59.72,1.644,16.13,167.6,0.9533,1.457,6281,9.269,8.717,8.317,8.052,5.65,1.001,-4.876,9.701,0
284.3,69.92,1.604,12.25,6.802,1.773,0.5044,3808,14.18,12.33,11.26,10.44,4.9,1.001,-4.439,10.11,2
284.4,40.57,1.927,12.33,28.67,1.616,0.7134,4909,11.75,10.76,10.04,9.462,5.2,1.085,-4.938,7.805,0
284.4,24.12,2.683,15.37,46.85,1.944,0.8211,5636,9.475,8.752,8.226,7.835,4.05,1.02,-4.668,24.98,0
284.5,74.38,1.941,141.2,0.1032,1.226,0.3351,3465,14.28,12.07,10.83,10.06,3.3,1.035,-3.52,11.92,2
284.6,68.25,2.54,14.7,16.44,2.107,0.6698,4596,13.87,12.66,11.86,11.17,6.7,1.001,-3.343,8.116,1
284.6,63.36,1.865,11.89,78.52,1.38,0.9458,5610,12.29,11.55,11.02,10.63,7.15,1.06,-4.774,7.34,2
284.7,68.21,3.892,14.52,2013,1.406,2.238,1.019e+04,7.907,7.98,7.965,8.008,7.05,1.001,-4.159,13.19,1
284.8,54.86,3.808,12.87,402.9,1.905,1.659,7079,9.769,9.4,9.128,8.979,7,1.009,-4.066,10.81,0
284.8,57.21,2.323,7.351,13.37,2.966,0.5071,3794,15.17,13.29,12.21,11.39,5.85,1.009,-3.599,13.95,1
284.9,64.19,3.154,36.88,1.529,2.302,0.4968,3816,14,12.16,11.09,10.27,4.7,1.099,-4.493,32.61,2
285.2,79.05,2.798,6.265,392.1,2.276,1.211,6124,11.26,10.66,10.23,9.936,7.1,1.012,-4.35,13.65,2
285.3,67.38,3.846,21.3,68.32,2.021,1.11,6223,9.818,9.246,8.835,8.556,5.55,1.008,-4.369,48.72,1
285.3,42.27,2.169,2.497,7.907,9.223,0.172,3231,15.27,12.75,11.36,10.59,2.15,1.07,-4.293,38.65,4
285.3,35.81,1.32,0.6315,51.91,7.341,0.1797,3228,17.2,14.67,13.27,12.5,4.15,1.384,-3.468,8.145,3
285.4,69.67,4.459,205.2,5.998,1.098,1.354,6516,10.34,9.842,9.472,9.232,6.7,1.003,-4.758,23.82,1
285.4,-32.5,3.863,21.3,41.75,2.151,0.9858,5754,10.26,9.564,9.065,8.705,5.35,1.011,-4.591,18.54,0
285.5,44.27,2.928,13.99,4.282,3.189,0.4545,3669,14.12,12.13,11,10.19,4.3,1.178,-4.029,17.51,2
285.5,38,2.257,8.877,541,1.468,1.739,6412,8.432,7.916,7.54,7.296,5.3,1.002,-4.7,7.809,2
285.7,74.59,1.818,41.4,0.5301,1.736,0.3351,3465,14.28,12.07,10.83,10.06,3.3,1.012,-3.487,15.45,2
286,33.12,2.198,4.132,9.93,4.92,0.3076,3406,15.63,13.35,12.07,11.3,4.3,1.012,-4.32,13.47,3
286.1,75.41,2.786,3.45,1083,2.85,1.179,6501,11.81,11.31,10.93,10.69,7.85,1.001,-4.163,16.34,0
286.3,34.39,3.396,5.865,33.52,4.083,0.5944,4201,12.36,10.87,9.946,9.158,4.25,1.326,-4.492,32.61,2
286.3,68.03,1.493,2.283,1480,2.144,1.08,6383,11.19,10.65,10.26,9.997,6.95,1.009,-4.558,10.07,2
286.3,63.01,3.15,2.105,4.645e+04,1.81,2.382,1.191e+04,8.361,8.496,8.556,8.639,8,1.003,-4.675,29.71,0
286.5,31.7,1.881,9.665,3.199,3.207,0.3076,3406,15.63,13.35,12.07,11.3,4.3,1.049,-3.772,7.847,3
286.5,62.97,17.23,10.2,373.9,13.06,1.248,6637,11.72,11.24,10.86,10.62,7.9,1.109,-4.135,478.7,1
286.5,62.2,1.74,13.29,28.24,1.388,0.7597,4898,11.68,10.68,9.956,9.375,5.25,1.038,-4.68,10.71,1
286.6,24.77,2.28,9.214,1.398,6.174,0.1744,3227,16.82,14.29,12.89,12.12,3.7,8.301,-4.384,8.033,2
286.6,-14.39,2.097,5.092,22.86,3.031,0.509,3836,13.14,11.32,10.27,9.454,3.95,1.098,-4.114,10.71,2
286.7,-64.08,1.887,6.446,2.404,5.659,0.1816,3238,15.63,13.13,11.74,10.97,2.65,1.001,-3.923,9.923,2
286.7,20.44,2.52,16.11,16.25,2.011,0.6766,4712,12.2,11.07,10.31,9.664,5.25,1.135,-4.123,10.59,0
286.8,58.16,2.261,6.207,252.5,1.868,1.07,5821,11.51,10.82,10.34,10.01,6.85,1.028,-4.644,14.42,0
286.8,38.86,2.772,34.77,20.8,1.432,0.9382,5741,11.24,10.54,10.04,9.67,6.2,1.029,-4.775,9.049,0
286.9,61.53,2.826,17.99,7.241,2.347,0.5923,4179,14.38,12.86,11.92,11.12,6.2,1.041,-4.329,12.95,1
287,59.9,2.921,17.77,108.8,1.747,1.234,6166,11.59,11.01,10.58,10.29,7.5,1.004,-4.669,14.09,0
287.1,54.63,16.04,7.131,146.5,11.72,0.9466,5572,11.32,10.56,10.02,9.632,6.15,1.014,-4.735,571.9,1
287.1,64.2,2.982,4.569,1375,2.15,1.543,7063,11.09,10.71,10.44,10.29,8.15,1.006,-4.035,16.21,2
287.2,57.02,3.622,22.62,80.1,1.863,1.155,6486,11.24,10.74,10.37,10.12,7.25,1.02,-4.291,14.22,2
287.2,69.65,1.525,12.63,100.3,1.034,1.067,5848,9.143,8.47,7.994,7.66,4.5,1.002,-4.712,14.57,1
287.3,22.87,2.163,4.122,4.214,7.554,0.1782,3231,16.76,14.24,12.84,12.07,3.7,2.109,-3.616,14.69,2
287.3,66.03,1.581,5.605,18.85,2.27,0.4968,3816,14,12.16,11.09,10.27,4.7,1.005,-4.464,15.7,2
287.3,58.82,2.096,12.84,11.35,1.989,0.5923,4179,14.38,12.86,11.92,11.12,6.2,1.07,-3.52,8.061,1
287.4,64.94,3.214,21.59,45.82,1.83,0.9484,6012,12.76,12.13,11.67,11.35,7.95,1.046,-4.682,11.64,2
287.6,65.31,2.636,20.54,0.5987,4.782,0.2029,3260,16.18,13.7,12.33,11.56,3.5,1.002,-4.089,45.75,3
287.6,65.03,1.939,9.382,66.91,1.625,0.8202,5284,12.64,11.79,11.18,10.71,6.85,1.058,-4.708,8.799,0
287.7,-39.5,1.185,3.74,7.55,2.171,0.2374,3326,13.8,11.43,10.11,9.35,1.7,1.004,-3.67,12.12,2
287.8,35.53,1.907,16.3,2.519,2.244,0.3884,3568,12.49,10.41,9.23,8.451,2.1,1.046,-3.548,12.48,1
287.8,73.11,3.131,4.776,38.35,4.117,0.5854,4073,15.62,14.01,13.03,12.21,7.2,1.001,-3.779,13.64,1
288,67.84,2.38,9.707,7.623,2.878,0.4739,3704,15.58,13.6,12.48,11.66,5.9,1.002,-3.695,11.29,2
288,76.07,3.378,9.899,16.18,3.387,0.5855,4209,13.24,11.75,10.82,10.04,5.1,1.063,-4.114,46.66,1
288.1,-75.86,3.981,4.27,230.1,3.947,0.8585,5470,9.684,8.903,8.341,7.918,4.2,1,-4.809,54.37,2
288.5,64.94,3.013,6.155,7.7,4.979,0.3619,3492,15.72,13.53,12.3,11.52,4.95,1.151,-4.364,26.72,1
288.6,62.63,2.513,11.24,2.44,3.976,0.2983,3402,15.96,13.68,12.39,11.62,4.55,1,-4.464,27.61,3
288.6,29.93,3.607,20.29,21.66,2.356,0.7469,5333,10.98,10.16,9.566,9.107,5.05,1.07,-4.554,17.52,1
288.7,67.32,2.323,91.45,9.788,0.7781,1.11,6223,9.818,9.246,8.835,8.556,5.55,1.006,-4.413,10.76,1
288.7,77.23,1.449,4.854,90.24,1.86,0.6958,4813,13.05,11.97,11.25,10.63,6.3,1.013,-3.952,7.39,1
288.7,76.21,0.9899,2.602,277.4,0.531,0.7609,5047,10.87,9.941,9.266,8.732,4.65,1.009,-4.545,8.818,1
289.1,60.79,1.227,5.423,6.881,1.712,0.3095,3419,15.43,13.17,11.9,11.12,4.15,1.061,-4.029,8.14,2
289.1,46.58,1.103,1.725,19.86,2.235,0.2294,3304,15.36,12.95,11.61,10.84,3.1,1.285,-4.5,11.13,3
289.2,44.36,17.32,3.767,600,14.75,1.07,6109,10.58,9.985,9.554,9.256,6.15,1.085,-4.858,465.8,1
289.2,64.84,3.846,32.12,19.28,2.085,0.8615,5662,13.11,12.39,11.86,11.48,7.8,1.052,-4.523,14.55,1
289.3,59.86,3.724,9.024,1.186,10.36,0.1601,3166,18.37,15.81,14.38,13.63,5.45,1.481,-4.008,30.99,1
289.4,71.04,8.361,5.722,2070,4.801,1.783,7998,10.25,10.07,9.906,9.848,8.15,1.025,-4.104,108.5,1
289.5,25.44,5.513,18.74,141.7,2.712,1.409,6486,7.021,6.523,6.164,5.933,3.5,1.017,-4.663,48.43,2
289.9,85.91,2.562,32.5,1.21,2.183,0.429,3624,14.56,12.52,11.36,10.56,4.5,1.138,-4.5,9.724,2
